#chrom,st,end,accession,mRNA_size,gene_strand,Frag_count,FPM,FPKM
chrI,5221386,5221719,SPAC19D5.10c.1,264,-,1,0.4329199237,1.639848196
chrII,520253,520494,SPRRNA.29.1,241,+,1,0.4329199237,1.796348231
chrI,1451226,1451437,SPSNORNA.48.1,211,+,1,0.4329199237,2.051753193
chrII,2601129,2601336,SPNCRNA.539.1,207,-,1,0.4329199237,2.091400597
chrIII,926107,926294,SPRRNA.26.1,187,+,1,0.4329199237,2.315079806
chrII,626484,626809,SPNCRNA.1376.1,325,+,2,0.8658398473,2.664122607
chrIII,1514061,1514343,SPNCRNA.51.1,282,+,2,0.8658398473,3.070354069
chrIII,115588,116726,SPCC330.05c.1,1138,-,9,3.896279313,3.42379553
chrIII,2407721,2408378,SPCP1E11.09c.1,502,-,4,1.731679695,3.449561145
chrI,2853646,2853947,SPAC3F10.18c.1,249,-,2,0.8658398473,3.477268463
chrI,3891661,3891784,SPRRNA.18.1,123,-,1,0.4329199237,3.519674176
chrII,464526,464645,SPRRNA.28.1,119,+,1,0.4329199237,3.637982552
chrII,2827280,2827631,SPNCRNA.26.1,351,+,3,1.298759771,3.700170288
chrIII,1291524,1291986,SPNCRNA.122.1,462,+,4,1.731679695,3.748224447
chrIII,853313,853428,SPRRNA.55.1,115,-,1,0.4329199237,3.764521075
chrI,2144893,2145226,SPAC23C11.07.1,333,+,3,1.298759771,3.900179493
chrII,2021268,2022034,SPNCRNA.1482.1,766,+,7,3.030439466,3.956187292
chrII,601208,602186,SPBC839.04.1,978,+,9,3.896279313,3.983925678
chrI,3436185,3436825,SPAC3H5.05c.1,640,+,6,2.597519542,4.058624284
chrI,1955846,1956372,SPNCRNA.782.1,526,-,5,2.164599618,4.1152084
chrI,4942225,4942435,SPAC1B3.21.1,210,+,2,0.8658398473,4.123046892
chrI,1599322,1600363,SPAC23H4.05c.1,1041,+,10,4.329199237,4.158692831
chrII,1733329,1734053,SPBC2F12.04.1,724,-,7,3.030439466,4.18568987
chrII,1455027,1455333,SPBC32H8.15.1,306,+,3,1.298759771,4.244312977
chrI,4788493,4788895,SPAC22F8.03c.1,402,-,4,1.731679695,4.307660932
