#chrom,st,end,accession,mRNA_size,gene_strand,Frag_count,FPM,FPKM
chrII,1606371,1609066,SPNCRNA.360.1,2695,+,1,0.246209785,0.09135799073
chrII,1637170,1639664,SPNCRNA.372.1,2494,+,1,0.246209785,0.09872084403
chrI,5552810,5554529,SPAC186.09.1,1719,+,1,0.246209785,0.1432284962
chrI,5560188,5561901,SPAC750.02c.1,1713,-,1,0.246209785,0.1437301722
chrII,2134980,2136530,SPNCRNA.390.1,1550,+,1,0.246209785,0.1588450226
chrII,33230,34780,SPBC1348.11.1,1542,+,1,0.246209785,0.1596691213
chrII,4412071,4413599,SPBC1289.14.1,1528,+,1,0.246209785,0.1611320583
chrI,5540031,5541502,SPAC186.05c.1,1471,-,1,0.246209785,0.1673757886
chrI,5499767,5501236,SPAC869.07c.1,1469,+,1,0.246209785,0.1676036658
chrII,719584,720990,SPBC119.04.1,1406,+,1,0.246209785,0.1751136451
chrII,1614383,1615655,SPNCRNA.365.1,1272,+,1,0.246209785,0.1935611517
chrII,19394,20606,SPBC1348.07.1,1162,+,1,0.246209785,0.2118844966
chrI,1494669,1495830,SPAC5D6.10c.1,1161,+,1,0.246209785,0.2120669983
chrI,2297819,2298939,SPNCRNA.811.1,1120,+,1,0.246209785,0.2198301652
chrII,4457660,4459842,SPBPB2B2.01.1,2182,+,2,0.49241957,0.2256734968
chrII,1609702,1610790,SPNCRNA.361.1,1088,+,1,0.246209785,0.2262957583
chrII,4146299,4147370,SPNCRNA.1676.1,1071,+,1,0.246209785,0.2298877545
chrI,5156288,5157303,SPNCRNA.1054.1,1015,-,1,0.246209785,0.2425712168
chrII,580156,581149,SPNCRNA.315.1,993,+,1,0.246209785,0.2479454028
chrII,2198476,2199461,SPNCRNA.394.1,985,+,1,0.246209785,0.2499591726
chrI,577198,578150,SPNCRNA.155.1,952,+,1,0.246209785,0.2586237238
chrI,13664,14555,SPAC212.07c.1,891,+,1,0.246209785,0.276329725
chrII,4128865,4129750,SPNCRNA.1672.1,885,+,1,0.246209785,0.2782031469
chrII,38513,40277,SPBC1348.14c.1,1764,-,2,0.49241957,0.2791494161
chrII,2552925,2553784,SPNCRNA.1527.1,859,+,1,0.246209785,0.2866237311
chrII,574631,575459,SPNCRNA.312.1,828,+,1,0.246209785,0.2973548128
chrI,3032578,3033397,SPNCRNA.877.1,819,-,1,0.246209785,0.3006224481
chrII,2129802,2130589,SPNCRNA.389.1,787,+,1,0.246209785,0.3128459784
chrIII,504710,505493,SPNCRNA.1141.1,783,-,1,0.246209785,0.3144441699
chrII,1264113,1264873,SPNCRNA.1423.1,760,-,1,0.246209785,0.3239602434
chrI,85565,86324,SPAC1F8.02c.1,759,-,1,0.246209785,0.3243870685
chrII,2115666,2117167,SPNCRNA.388.1,1501,+,2,0.49241957,0.328061006
chrII,2115591,2117088,SPNCRNA.1486.1,1497,+,2,0.49241957,0.3289375885
chrII,4499757,4501251,SPNCRNA.448.1,1494,+,2,0.49241957,0.3295981058
chrI,2228048,2228781,SPNCRNA.188.1,733,+,1,0.246209785,0.3358932947
chrI,4437465,4438921,SPNCRNA.987.1,1456,+,2,0.49241957,0.3382002541
chrII,44693,46836,SPBPB8B6.02c.1,2143,-,3,0.7386293551,0.344670721
chrIII,2275647,2277744,SPNCRNA.516.1,2097,+,3,0.7386293551,0.3522314521
chrI,1573771,1574466,SPNCRNA.175.1,695,+,1,0.246209785,0.3542586835
chrI,2303556,2304248,SPNCRNA.190.1,692,+,1,0.246209785,0.355794487
chrI,3840749,3841441,SPNCRNA.940.1,692,-,1,0.246209785,0.355794487
chrII,63601,64286,SPNCRNA.1303.1,685,+,1,0.246209785,0.3594303431
chrII,1963881,1964560,SPNCRNA.382.1,679,+,1,0.246209785,0.3626064581
chrI,2660765,2661423,SPNCRNA.326.1,658,+,1,0.246209785,0.3741790046
chrI,2980427,2981839,SPAPB1A11.02.1,1315,+,2,0.49241957,0.3744635514
chrIII,54495,55150,SPNCRNA.452.1,655,+,1,0.246209785,0.3758928016
chrI,3158481,3159120,SPNCRNA.217.1,639,+,1,0.246209785,0.3853048279
chrI,35767,36382,SPAC977.05c.1,615,-,1,0.246209785,0.4003411138
chrII,4496372,4496984,SPBPB2B2.15.1,612,+,1,0.246209785,0.4023035703
chrI,39415,40072,SPAC977.06.1,607,+,1,0.246209785,0.4056174382
chrI,11783,12994,SPAC212.08c.1,1211,+,2,0.49241957,0.4066222709
chrI,77479,78066,SPAPJ695.01c.1,587,-,1,0.246209785,0.4194374532
